Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
IEEE Standard for Metal-Enclosed Interrupter Switchgear (1 kV38 kV) - Redline,,,IEEE Std C37.20.3-2013 (Revision of IEEE Std C37.20.3-2001) - Redline,20140307,2014,,,1,141,"Metal-enclosed interrupter (MEI) switchgear assemblies containing, but not limited to, such devices as interrupter switches; selector switches; power fuses; circuit breakers; control, instrumentation and metering devices; and protective equipment are included in this standard. It includes, but is not specifically limited to, equipment for the control and protection of apparatus used for distribution of electrical power.",,,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6759741,IEEE C37.20.3(TM);MEI;metal-enclosed interrupter switchgear;metal-enclosed power switchgear;switchgear;switchgear assembly,Assembly;IEEE standards;Metal-encolosed switchgear;Switchgear,,,,0,,,,,,Jan. 31 2014,,IEEE,IEEE Standards
IEEE Standard for Metal-Enclosed Interrupter Switchgear (1 kV38 kV),,,IEEE Std C37.20.3-2013 (Revision of IEEE Std C37.20.3-2001),20140131,2014,,,1,70,"Metal-enclosed interrupter (MEI) switchgear assemblies containing, but not limited to, such devices as interrupter switches; selector switches; power fuses; circuit breakers; control, instrumentation and metering devices; and protective equipment are included in this standard. It includes, but is not specifically limited to, equipment for the control and protection of apparatus used for distribution of electrical power.",,,10.1109/IEEESTD.2014.6730641,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6730641,IEEE C37.20.3(TM);MEI;metal-enclosed interrupter switchgear;metal-enclosed power switchgear;switchgear;switchgear assembly,Assembly;IEEE standards;Interrupters;Metal-enclosed interrupters;Switchgears,IEEE standards;circuit breakers;power distribution protection,IEEE Std C37.20.3-2001 Revision;IEEE Std C37.20.3-2013;MEI switchgear;circuit breaker;electrical power distribution;metal-enclosed interrupter switchgear;metering device;power fuse;protective equipment;selector switch;voltage 1 kV to 38 kV,,0,,,,,,Jan. 31 2014,,IEEE,IEEE Standards
IEEE Standard for Metal-Enclosed Interrupter Switchgear,,,ANSI/IEEE Std C37.20.3-1987,20021210,1987,,,0_1,,"This standard covers metal-enclosed interrupter switchgear assemblies containing but not limited to such devices as interrupter/switches, selector switches, power fuses, control, instrumentation and metering, and protective equipment. It includes, but is not specifically limited to, equipment for the control and protection of apparatus used for distribution of electrical power. This standard is concerned with enclosed, rather than open, switchgear assemblies rated above 1000 V. It includes equipments that are part of primary and secondary unit substations. It does not include gas insulated substation equipments, nor switching devices mounted integrally within a transformer enclosure. In this standard the metal-enclosed interrupter switchgear shall be called MEI switchgear.",,,10.1109/IEEESTD.1987.79652,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=26612,,Fuses;Standards;Substations;Switchgear,ANSI standards;IEEE standards;electric fuses;interrupters;power distribution protection;substation protection,ANSI/IEEE C37.20.3-1987;IEEE Standard;MEI switchgear;apparatus control;apparatus protection;electrical power distribution;metal-enclosed interrupter switchgear assemblies;power fuses;primary unit substations;protective equipment;secondary unit substations;selector switches,,3,,32,,,,1987,,IEEE,IEEE Standards
IEEE Standard for Metal-Enclosed Interrupter Switchgear,,,IEEE Std C37.20.3-2001 - IEEE Standard for metal-enclosed interrupter switchgear,20020807,2001,,,1,48,"This standard covers metal-enclosed interrupter (MEI) switchgear assemblies containing, but not limited to, such devices as interrupter switches; selector switches; power fuses; control, instrumentation and metering devices; and protective equipment. It includes, but is not specifically limited to, equipment for the control and protection of apparatus used for distribution of electrical power.",,,10.1109/IEEESTD.2001.93282,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=945299,metal enclosed power switchgear;metal-enclosed interrupter (MEI)switchgear;switchgear;switchgear assembly,Interrupters,IEEE standards;electric fuses;interrupters;power control;power distribution;power system protection,IEEE standard;apparatus control;apparatus protection;electrical power distribution;instrumentation;interrupter switches;metal-enclosed interrupter switchgear;metering devices;power control;power fuses;protective equipment;selector switches,,0,,37,,,,Aug. 17 2001,,IEEE,IEEE Standards
IEEE Standard for Metal-Enclosed Low-Voltage Power Circuit Breaker Switchgear - Amendment 2: Additional Requirements for Control and Auxiliary Power Wiring in DC Traction Power Switchgear,,,IEEE Std C37.20.1b-2006 (Amendment to IEEE Std C37.20.1-2002),20070430,2007,,,1,5,"This amendment addresses additional requirements of auxiliary power wiring and controlwiring within dc switchgear of traction power substations with rated maximum voltage up to 3200volts dc. This amendment provides control and power wiring methods for dc traction powerswitchgear intended to increase reliability of the operation of the equipment, improve protection,reduce maintenance cost and initial cost, and improve overall performance of the dc traction powerswitchgear.",,,10.1109/IEEESTD.2007.353213,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4167677,control wiring;dc switchgear;dc traction power switchgear;traction power substation,,,,,0,,1,,,,April 20 2007,,IEEE,IEEE Standards
IEEE Standard for Metal-Enclosed Low-Voltage Power Circuit Breaker Switchgear,,,IEEE Std C37.20.1-1993,20020806,1994,,,i,,"<div style=""font-variant: small-caps; font-size: .9em;"">First Page of the Article</div><img class=""img-abs-container"" style=""width: 95%; border: 1px solid #808080;"" src=""/xploreAssets/images/absImages/00392577.png"" border=""0"">",,,10.1109/IEEESTD.1994.121437,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=392577,,,,,,1,,34,,,,1994,,IEEE,IEEE Standards
IEEE Standard for Metal-Enclosed Low-Voltage Power Circuit Breaker Switchgear,,,IEEE Std C37.20.1-2002 (Revision of IEEE Std C37.20.1-1993),20021210,2002,,,1,55,"Low-voltage metal-enclosed switchgear-which contains either stationary or drawout, manuallyor electrically operated low-voltage ac or dc power circuit breakers in individual grounded metalcompartments, in three-pole, two-pole, or single-pole construction is covered. Rated maximum voltagelevels are 254V, 508V, or 635V (ac) and 300/325V, 800V, 1000V, 1200V, 1600V, or 3200V (dc). Thepreferred continuous current ratings of the main bus in ac designs are 1600A, 2000A, 3000A, 3200A,4000A, or 5000A. For dc designs, the preferred ratings are 1600A, 2000A, 2500A, 3000A, 4000A, 5000A,6000A, 8000A, 10000A, or 12000A. The switchgear may also contain associated control, instruments,metering, protective, and regulating devices as necessary. The standard deals with service conditions, ratings, temperature limitations, and classification of insulating materials, insulation (dielectric) withstand voltage requirements, test procedures, and application.",,,10.1109/IEEESTD.2002.94133,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1041047,circuit breaker;control;cumulative loading;current transformers;drawout;indoor;instrumentation;load current-carrying;metering;outdoor;protection;stationary,,,,,0,,35,,,,Oct. 9 2002,,IEEE,IEEE Standards
IEEE Standard for Metal-Enclosed Low-Voltage Power Circuit Breaker Switchgear---Amendment 1: Short-Time and Short-Circuit Withstand Current Tests---Minimum Areas for Multiple Cable Connections,,,IEEE Std C37.20.1a-2005 (Amendment to IEEE Std C37.20.1-2002),20060110,2005,,,1,4,"This amendment revises IEEE Std C37.20.1-2002. Use of dummy elements, previously allowed for short-circuit tests in 6.2.4 and 6.2.5.2, is eliminated. Errors made in converting areas in Table 10 to metric units are corrected.",,,10.1109/IEEESTD.2005.97977,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1573535,cable connections;short-time withstand,,,,,0,,,,,,Dec. 30 2005,,IEEE,IEEE Standards
IEEE Standard for Metal-Enclosed Low-Voltage Power Circuit-Breaker Switchgear,,,ANSI/IEEE Std C37.20.1-1987,20021210,1987,,,0_1,,"The standard covers metal-enclosed LV power circuit breaker switchgear assemblies containing such devices as power circuit breakers, interrupting devices, switches and regulating equipment. It is also concerned with enclosed, rather than open, switchgear assemblies. For AC LV switchgear, the voltage is considered to be 1000 V and below, and for DC LV switchgear the voltage is considered to be 3200 V and below.<<ETX>>",,,10.1109/IEEESTD.1987.79651,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=26609,,Circuit breakers;Standards;Switchgear,circuit breakers;standards;switchgear,0 to 1000 V;0 to 3200 V;AC LV switchgear;DC LV switchgear;IEEE standards;interrupting devices;metal-enclosed LV power circuit breaker switchgear assemblies;regulating equipment;switches,,1,,12,,,,1987,,IEEE,IEEE Standards
IEEE Standard for Metal-Oxide Surge Arresters for AC Power Circuits (> 1 kV),,,IEEE Std C62.11-2005 (Revision of IEEE Std C62.11-1999),20060403,2006,,,1,64,"This standard applies to metal-oxide surge arresters (MOSAs) designed to repeatedly limit the voltage surges on 48 Hz to 62 Hz power circuits (>1000 V) by passing surge discharge current and automatically limiting the flow of system power current. This standard applies to devices for separate mounting and to devices supplied integrally with other equipment. The tests demonstrate that an arrester can survive the rigors of reasonable environmental conditions and system phenomena while protecting equipment and/or the system from damaging overvoltages caused by lightning, switching, and other undesirable surges.",,,10.1109/IEEESTD.2006.99377,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1611106,MCOV;MOSA;discharge current;discharge voltage;duty-cycle voltage rating;lightning protection;maximum continuous operating voltage;metal-oxide surge arrester;surge arrester;valve arrester,,,,,0,,22,,,,March 22 2006,,IEEE,IEEE Standards
IEEE Standard for Metal-Oxide Surge Arresters for AC Power Circuits,,,ANSI/IEEE Std C62.11-1987,20021210,1987,,,0_1,,The standard applies to metal-oxide surge arresters designed to repeatedly limit the voltage surges on 48 Hz to 62 Hz AC power circuits by passing surge discharge current and automatically limiting the flow of system power current. The standard presents minimum criteria for the testing of the surge arresters and also incorporates an aging procedure to simulate the long-term effects of voltage and temperature.<<ETX>>,,,10.1109/IEEESTD.1987.81003,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=27768,,Standards;Surge protection;Testing,standards;surge protection;testing,48 to 62 Hz;AC power circuits;IEEE standards;aging procedure;metal-oxide surge arresters;surge discharge current;testing,,2,,10,,,,1987,,IEEE,IEEE Standards
IEEE Standard for Metal-Oxide Surge Arresters for Alternating Current Power Circuits,,,IEEE Std C62.11-1993,20020806,1994,,,i,,"<div style=""font-variant: small-caps; font-size: .9em;"">First Page of the Article</div><img class=""img-abs-container"" style=""width: 95%; border: 1px solid #808080;"" src=""/xploreAssets/images/absImages/00392574.png"" border=""0"">",,,10.1109/IEEESTD.1994.121436,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=392574,,,,,,1,,12,,,,1994,,IEEE,IEEE Standards
IEEE Standard for Methods of Measurement of Radio Frequency Power Line Interference Filter in the Range of 100 Hz to 10 GHz,,,IEEE Std 1560-2005,20060306,2006,,,1,92,"Uniform methods of measurements of radio-frequency power-line interference filterattenuation performance in the range of 100 Hz to 10 GHz are set forth. Nonloaded and loaded attenuation measurements are presented with varying source impedance, including radiofrequency current injection with linear and nonlinear load impedances. H- and S-parameter measurements are introduced for modeling results. New methods for placing filter performance criteria on a filter label are also included.",,,10.1109/IEEESTD.2006.99105,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1602705,EMI/RFI filters;LISN;S-parameters;attenuation measurements;crest factor;dB;electromagnetic interference power-linefilters;insertion loss;no-load insertion loss;nonlinear load;radio-frequencycurrent injection,,,,,0,,11,,,,Feb. 24 2006,,IEEE,IEEE Standards
IEEE Standard for Microcontroller System Serial Control Bus,,,IEEE Std 1118-1990,20020806,1991,,,1,252,"A serial control bus for interdevicehtrabuilding as well as intrasite interconnection of microcontrollers is described. The bus, which is defined for (but not limited to) microcontrollers and devices with limited reprogrammability, provides a multidrop bit-serial communication protocol that will allow the interconnection of distributed Independently manufactured devices. The protocol is optimized for instrumentation, distributed data acquisition systems, control devices, and test and measurement. Specifications for a common architecture, generic bus services, system wagement, data link, and several physical media are provided.The serial control bus expands upon BITBUS without making existing devices obsolete. System reliability has been enhanced by the addition of a system management layer, and generic bus services have been expanded.",,,10.1109/IEEESTD.1991.101038,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=159173,88 inverse discrete cosine transform;IDCT;reconstruction loop;visual telephony,Computer interfaces;Protocols;Standards,computer interfaces;protocols;standards,BITBUS;bit-serial communication protocol;control devices;distributed data acquisition systems;generic bus services;instrumentation;intrasite interconnection;micro-controllers;microcontrollers;reliability;reprogrammability;serial control bus;system management layer,,0,,8,,,,Jan. 31 1991,,IEEE,IEEE Standards
IEEE Standard for Microprocessor Assembly Language,,,IEEE Std 694-1985,20021210,1985,,,0_1,,"The intent of this standard is to name a common set of instructions used by most general purpose microprocessors, to provide rules for the naming of new instructions and the derivation of new mnemonics, and to establish assembly language conventions and syntax. It is intended to be used as a basis for microprocessor assembler specification. This standard sets forth the functional definitions and corresponding mnemonics for microprocessor instructions. The specific set of instructions differs for each type of processor. Likewise, the number of condition codes and their setting and resetting is processor-dependent, and is not prescribed by this standard. Each use of a particular microprocessor should be thoroughly conversant with its operation and should make no a priori assumptions with regard to the detailed behavior of its instructions.<<ETX>>",,,10.1109/IEEESTD.1985.81632,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=29141,,Computer instructions;Computer languages;Standards,assembly language;instruction sets;standards,IEEE;assembler specification;assembly language syntax;condition codes;functional definitions;general purpose microprocessors;instruction mnemonics;instruction naming;standard,,0,1,2,,,,1985,,IEEE,IEEE Standards
IEEE Standard for Microprocessor Operating System Interfaces (MOSI),,,IEEE Std 855-1990,20020806,1990,,,0_1,,"Describes the IEEE Std 855-1990, IEEE standard for microprocessor operating system interfaces (MOSI), which defines an interface between application programs and their operating environments. It is designed to be compatible with most operating systems in common use in microcomputer environments, within the scope of services that the various operating systems provide. It can be used to access the services of a variety of operating systems in both small-scale and large-scale environments.<<ETX>>",,,10.1109/IEEESTD.1990.94608,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=89760,,Communication system software;Computer interfaces;Operating systems;Standards,computer communications software;computer interfaces;operating systems (computers);standards,IEEE Std 855-1990;MOSI;application programs;microprocessor operating system interfaces;operating environments,,0,,,,,,1990,,IEEE,IEEE Standards
IEEE Standard for Microprocessor Universal Format for Object Modules,,,IEEE Std 695-1990,20020806,1990,,,1,0,"The format of linkable, relocatable, and absolute object modules is specified. MUFOM, the Microprocessor Universal Format for Object Modules, is designed to apply to a variety of target machines. It permits the linking and relocating functions to be isolated from the specification of target architecture, so that a user may employ a single program for these functions across all CPUs. It applies to binary computers of arbitrary word size and architecture. Two levels of compliance are specified, minimum and full. The minimum compliance level affords sufficient flexibility to link separately compiled modules, to relocate addresses in simple ways, and to load the resulting absolute object modules with a minimal loader. The full compliance level affords all of the functionality of the minimum level and adds to it arbitrary address-expression handling, type checking capability, librarian control commands, and other useful functions for full generality.",,,10.1109/IEEESTD.1990.101062,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=159333,Microcomputer software;format;microprocessor;modules;object;universal,Microprocessors;Program processors;Software portability;Standards,microprocessor chips;program processors;software portability;standards,IEEE Standard;MUFOM;absolute object modules;arbitrary address expression handling;librarian control commands;linkable;machine-specific requirements;microprocessor universal format for object modules;relocatable;separately compiled modules;type checking capability,,0,11,3,,,,Feb. 15 1990,,IEEE,IEEE Standards
IEEE Standard for Microwave Filter Definitions,,,IEEE Std 1549-2011,20110518,2011,,,1,22,Standardized definition of terms commonly used in the field of electrical networks and filters are defined.,,,10.1109/IEEESTD.2011.5771512,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5771512,IEEE 1549;definitions;filters;multiplexers;networks;resonators;terms,DIctionaries;Filters;IEEE standards;Microwave filters;Microwave technology;Terminology,IEEE standards;microwave filters,IEEE 1549-2011;IEEE standard;electrical networks;microwave filter definitions,,0,,,,,,May 20 2011,,IEEE,IEEE Standards
IEEE Standard for Minimum Performance Characteristics of IEEE 802.20 Terminals and Base Stations/Access Nodes,,,IEEE Std 802.20.3-2010,20100429,2010,,,1,77,This standard specifies minimum performance parameters and the associated test methodologies for implementation of IEEE 802.20 compliant systems.,,,10.1109/IEEESTD.2010.5456305,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5456305,802.20.2-2010;LAN;MAN;mobile;wireless,Base stations;IEEE standards,local area networks;metropolitan area networks;telecommunication standards,IEEE 802.20 compliant systems;access nodes;base stations;local area networks;metropolitan area networks,,0,,2,,,,April 22 2010,,IEEE,IEEE Standards
IEEE Standard for Modeling and Simulation (M&Amp;S) High Level Architecture (HLA) - Framework and Rules,,,IEEE Std. 1516-2000,20020806,2000,,,i,22,"The High Level Architecture (HLA)~Framework and Rules is the capstone document for a family of related HLA standards. It defines the HLA, its components, and the rules that outline the responsibilities of HLA federates and federations to ensure a consistent implementation. Simulations are abstractions of the real world, and no one simulation can solve all of the functional needs for the modeling and simulation community. It is anticipated that technology advances will allow for new and different modeling and simulation (M&S) implementations within the framework of the HLA. The standards contained in this architecture are interrelated and need to be considered as a product set, as a change in one is likely to have an impact on the others. As such, the HLA is an integrated approach that has been developed to provide a common architecture for simulation.",,,10.1109/IEEESTD.2000.92296,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=893287,,,"Keywords: architecture, class attribute, federate, federation, federation execution, federation object model, framework, high level architecture, instance attribute, interaction class, joined federate, object class, object model template, rules, runtime infrastructure, simulation object model",,,1,1,2,,,,2000,,IEEE,IEEE Standards
IEEE Standard for Modeling and Simulation (M&Amp;S) High Level Architecture (HLA)-Object Model Template (OMT) Specification,,,IEEE Std 1516.2-2000,20020807,2001,,,i,130,"The High Level Architecture (HLA)~Object Model Template (OMT) specification defines the format and syntax (but not content) of HLA object models. Simulations are abstractions of the real world, and no one simulation can solve all of the functional needs for the modeling and simulation community. It is anticipated that advances in technology will allow for new and different modeling and simulation (M&S) implementations within the framework of the HLA. The standards contained in this architecture are interrelated and need to be considered as a product set, as a change in one is likely to have an impact on the others. As such, the HLA is an integrated approach that has been developed to provide a common architecture for simulation.",,,10.1109/IEEESTD.2001.92423,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=915738,,,"architecture, class attribute, data distribution management, federate, federation, federation execution, federation object model, framework, high level architecture, instance attribute, instance attribute ownership, interaction class, joined federate, object class, object model template, rules, runtime infrastructure, simulation object model, time-constrained, time-regulating",,,0,1,6,,,,2001,,IEEE,IEEE Standards
IEEE Standard for Modeling and Simulation (M&S) High Level Architecture (HLA)-- Federate Interface Specification - Redline,,,IEEE Std 1516.1-2010 (Revision of IEEE Std 1516.1-2000) - Redline,20110713,2010,,,1,378,"The High Level Architecture (HLA) has been developed to provide a common architecture for distributed modeling and simulation. The HLA defines an integrated approach that provides a common framework for the interconnection of interacting simulations. This document, the second in a family of three related HLA documents, defines the standard services of and interfaces to the HLA runtime infrastructure (RTI). These services are used by the interacting simulations to achieve a coordinated exchange of information when they participate in a distributed federation. The standards contained in this architecture are interrelated and need to be considered as a product set, when changes are made. They each have value independently.",,,10.1109/IEEESTD.2010.5954120,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5954120,HLA;architecture;class attribute;data distribution management;federate;federation;federation execution;federation object model;instance attribute;instance attribute ownership;interaction class;object class;runtime infrastructure;simulation object model;time-constrained;time-regulating,Computer architecture;IEEE standards;Metasearch;Modeling;Object oriented modeling;Simulatin;Software architecture;User interfaces,,,,1,,3,,,,Aug. 18 2010,,IEEE,IEEE Standards
IEEE Standard for Modeling and Simulation (M&S) High Level Architecture (HLA)-- Federate Interface Specification,,,IEEE Std 1516.1-2010 (Revision of IEEE Std 1516.1-2000),20100826,2010,,,1,378,"The High Level Architecture (HLA) has been developed to provide a common architecture for distributed modeling and simulation. The HLA defines an integrated approach that provides a common framework for the interconnection of interacting simulations. This document, the second in a family of three related HLA documents, defines the standard services of and interfaces to the HLA runtime infrastructure (RTI). These services are used by the interacting simulations to achieve a coordinated exchange of information when they participate in a distributed federation. The standards contained in this architecture are interrelated and need to be considered as a product set, when changes are made. They each have value independently.",,,10.1109/IEEESTD.2010.5557728,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5557728,HLA;architecture;class attribute;data distribution management;federate;federation;federation execution;federation object model;instance attribute;instance attribute ownership;interaction class;object class;runtime infrastructure;simulation object model;time-constrained;time-regulating,Computational modeling;Computer architecture;Distributed databases;IEEE standards;Metasearch,distributed processing,HLA documents;HLA runtime infrastructure;IEEE standard;distributed modeling;distributed simulation;federate interface specification;high level architecture,,1,1,3,,,,Aug. 18 2010,,IEEE,IEEE Standards
IEEE Standard for Modeling and Simulation (M&S) High Level Architecture (HLA)-- Framework and Rules - Redline,,,IEEE Std 1516-2010 (Revision of IEEE Std 1516-2000) - Redline,20110712,2010,,,1,38,"This standard, describing the framework and rules of the High Level Architecture (HLA), is the capstone document for a family of related HLA standards. It defines the HLA, its components, and the rules that outline the responsibilities of HLA federates and federations to ensure a consistent implementation. Simulations are abstractions of the real world, and no one simulation can solve all of the functional needs for the modeling and simulation community. It is anticipated that technology advances will allow for new and different modeling and simulation (M&S) implementations within the framework of the HLA. The standards contained in this architecture are interrelated and need to be considered as a product set, as a change in one is likely to have an impact on the others. As such, the HLA is an integrated approach that has been developed to provide a common architecture for simulation.",,,10.1109/IEEESTD.2010.5953411,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5953411,High Level Architecture;architecture;class attribute;federate;federation;federation execution;federation object model;framework;instance attribute;interaction class;joined federate;object class;object model template;rules;runtime infrastructure;simulation object model,Computer architecture;IEEE standards;Metasearch;Modeling;Performance evaluation;Search engines;Simulation,,,,0,,2,,,,Aug. 18 2010,,IEEE,IEEE Standards
IEEE Standard for Modeling and Simulation (M&S) High Level Architecture (HLA)-- Framework and Rules,,,IEEE Std 1516-2010 (Revision of IEEE Std 1516-2000),20100823,2010,,,1,38,"This standard, describing the framework and rules of the High Level Architecture (HLA), is the capstone document for a family of related HLA standards. It defines the HLA, its components, and the rules that outline the responsibilities of HLA federates and federations to ensure a consistent implementation. Simulations are abstractions of the real world, and no one simulation can solve all of the functional needs for the modeling and simulation community. It is anticipated that technology advances will allow for new and different modeling and simulation (M&S) implementations within the framework of the HLA. The standards contained in this architecture are interrelated and need to be considred as a product set, as a change in one is likely to have an impact on the others. As such, the HLA is an integrated approach that has been developed to provide a common architecture for simulation.",,,10.1109/IEEESTD.2010.5553440,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5553440,High Level Architecture;architecture;class attribute;federate;federation;federation execution;federation object model;framework;instance attribute;interaction class;joined federate;object class;object model template;rules;runtime infrastructure;simulation object model,Computer architecture;IEEE standards;Metasearch;Modeling;Simulation,IEEE standards;computer architecture;distributed databases;general purpose computers;virtual machines,HLA standards;IEEE standards;capstone document;high level architecture;simulation object model,,2,1,2,,,,Aug. 18 2010,,IEEE,IEEE Standards
IEEE Standard for Modeling and Simulation (M&S) High Level Architecture (HLA)-- Object Model Template (OMT) Specification - Redline,,,IEEE Std 1516.2-2010 (Revision of IEEE Std 1516.2-2000) - Redline,20110712,2010,,,1,112,"The High Level Architecture (HLA)Object Model Template (OMT) specification defines the format and syntax (but not content) of HLA object models. Simulations are abstractions of the real world, and no one simulation can solve all of the functional needs for the modeling and simulation community. It is anticipated that advances in technology will allow for new and different modeling and simulation (M&S) implementations within the framework of the HLA. The standards contained in this architecture are interrelated and need to be considered as a product set, as a change in one is likely to have an impact on the others. As such, the HLA is an integrated approach that has been developed to provide a common architecture for simulation.",,,10.1109/IEEESTD.2010.5953408,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5953408,High Level Architecture;architecture;class attribute;data distribution management;federate;federation;federation execution;federation object model;framework;instance attribute;instance attribute ownership;interaction class;joined federate;object class;object model template;rules;runtime infrastructure;simulation object model;time-constrained;time-regulating,Computer architecture;IEEE standards;Metasearch;Modeling;Performance evaluation;Search engines;Simulation,,,,1,,6,,,,Aug. 18 2010,,IEEE,IEEE Standards
IEEE Standard for Modeling and Simulation (M&S) High Level Architecture (HLA)-- Object Model Template (OMT) Specification,,,IEEE Std 1516.2-2010 (Revision of IEEE Std 1516.2-2000),20100826,2010,,,1,110,"High Level Architecture (HLA)-Object Model Template (OMT) specification defines the format and syntax (but not content) of HLA object models. Simulations are abstractions of the real world, and no one simulation can solve all of the functional needs for the modeling and simulation community. It is anticipated that advances in technology will allow for new and different modeling and simulation (M&S) implementations within the framework of the HLA. The standards contained in this architecture are interrelated and need to be considered as a product set, as a change in one is likely to have an impact on the others. As such, the HLA is an integrated approach that has been developed to provide a common architecture for simulation. Keywords: architecture, class attribute, data distribution management, federate, federation, federation execution, federation object model, framework, High Level Architecture, instance attribute, instance attribute ownership, interaction class, joined federate, object class, object model template, rules, runtime infrastructure, simulation object model, time-constrained, time-regulating.",,,10.1109/IEEESTD.2010.5557731,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5557731,High Level Architecture;architecture;class attribute;data distribution management;federate;federation;federation execution;federation object model;framework;instance attribute;instance attribute ownership;interaction class;joined federate;object class;object model template;rules;runtime infrastructure;simulation object model;time-constrained;time-regulating,Computational modeling;Computer architecture;Data models;Distributed databases;IEEE standards;Metasearch,formal specification;software architecture,HLA modeling-and-simulation implementation;HLA object models;IEEE standard;OMT specification;high level architecture;object model template specification,,1,,5,,,,Aug. 18 2010,,IEEE,IEEE Standards
IEEE Standard for Modeling and Simulation [M and S] High Level Architecture [HLA] - Federate Interface Specification,,,IEEE Std 1516.1-2000,20020807,2001,,,i,467,"The high level architecture [HLA] has been developed to provide a common architecture for distributed modeling and simulation. The HLA defines an integrated approach that provides a common framework for the interconnection of interacting simulations. This document, the second in a family of three related HLA documents, defines the standard services of and interfaces to the HLA Runtime Infrastructure [RTI]. These services are used by the interacting simulations to achieve a coordinated exchange of information when they participate in a distributed federation. The standards contained in this architecture are interrelated and need to be considered as a product set, when changes are made. They each have value independently.",,,10.1109/IEEESTD.2001.92421,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=914368,,,,,,1,,3,,,,2001,,IEEE,IEEE Standards
IEEE Standard for Module Test and Maintenance Bus (MTM-Bus) Protocol,,,IEEE Std 1149.5-1995,20020806,1996,,,i,,"This standard specifies a serial, backplane, test and maintenance bus (MTM-Bus) that can be used to integrate modules form different teams or vendors into testable and maintainable subsystems. Physical, link, and command layers are specified. Standard interface protocol and commands can be used to provide the basic test and maintenance features needed for a module as well as access to on-module assets (memory, peripherals, etc.) and IEEE Std 1149.1 boundary-scan. Standard commands and functions support fault isolation to individual modules and test of backplane interconnect between modules.",,,10.1109/IEEESTD.1996.80835,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=499720,,Data buses;IEEE standards;Protocols,IEEE standards;modules;protocols;system buses,IEEE Std 1149.1 boundary-scan;Module Test and Maintenance Bus;backplane interconnect;command layer;fault isolation;interface protocol;link layer;module integration;on-module assets;physical layer;serial backplane bus,,2,23,5,,,,1996,,IEEE,IEEE Standards
